row_id	order_id	my_formatted_orderdate	ordermonth	orderyear	my_formatted_shipdate	shippedmonth	shippedyear	ship_mode	customer_id	customer_name	segment	country	city	state	postal_code	region	product_id	category	sub_category	product_name	sales	profit
390	CA-2018-101798	2018-12-11	12	2018	2018-12-15	12	2018	Standard Class	MV-18190	Mike Vittorini	Consumer	United States	New York City	New York	10009	East	OFF-BI-10000050	Office Supplies	Binders	"'"Angle-D Binders with Locking Rings, Label Holders'""	23.36	4.6720
538	CA-2016-147851	2016-12-03	12	2016	2016-12-08	12	2016	Standard Class	MP-17470	Mark Packer	Home Office	United States	New York City	New York	10009	East	OFF-BI-10004528	Office Supplies	Binders	Cardinal Poly Pocket Divider Pockets for Ring Binders	10.752	2.15040
573	CA-2018-164826	2018-12-28	12	2018	2019-01-04	1	2019	Standard Class	JF-15415	Jennifer Ferguson	Consumer	United States	New York City	New York	10024	East	OFF-BI-10001922	Office Supplies	Binders	Storex Dura Pro Binders	33.264	6.65280
681	CA-2017-164511	2017-11-19	11	2017	2017-11-24	11	2017	Standard Class	DJ-13630	Doug Jacobs	Consumer	United States	New York City	New York	10024	East	OFF-BI-10003305	Office Supplies	Binders	Avery Hanging File Binders	14.352	2.87040
759	CA-2018-117240	2018-07-23	7	2018	2018-07-28	7	2018	Standard Class	CP-12340	Christine Phan	Corporate	United States	New York City	New York	10009	East	OFF-BI-10000848	Office Supplies	Binders	Angle-D Ring Binders	13.128	2.62560
874	CA-2015-148488	2015-12-10	12	2015	2015-12-15	12	2015	Standard Class	SM-20005	Sally Matthias	Consumer	United States	New York City	New York	10009	East	OFF-BI-10000315	Office Supplies	Binders	Poly Designer Cover & Back	106.344	21.26880
909	CA-2018-143259	2018-12-30	12	2018	2019-01-03	1	2019	Standard Class	PO-18865	Patrick O'Donnell	Consumer	United States	New York City	New York	10009	East	OFF-BI-10003684	Office Supplies	Binders	Wilson Jones Legal Size Ring Binders	52.776	10.55520
925	CA-2017-149797	2017-09-15	9	2017	2017-09-20	9	2017	Standard Class	AH-10075	Adam Hart	Corporate	United States	New York City	New York	10011	East	OFF-BI-10003650	Office Supplies	Binders	GBC DocuBind 300 Electric Binding Machine	841.568	168.31360
1056	CA-2016-110667	2016-04-04	4	2016	2016-04-08	4	2016	Standard Class	NF-18595	Nicole Fjeld	Home Office	United States	New York City	New York	10009	East	OFF-BI-10002735	Office Supplies	Binders	GBC Prestige Therm-A-Bind Covers	82.344	16.46880
1057	CA-2016-110667	2016-04-04	4	2016	2016-04-08	4	2016	Standard Class	NF-18595	Nicole Fjeld	Home Office	United States	New York City	New York	10009	East	OFF-BI-10003529	Office Supplies	Binders	Avery Round Ring Poly Binders	9.088	1.81760
1073	CA-2018-106943	2018-11-14	11	2018	2018-11-19	11	2018	Standard Class	FO-14305	Frank Olsen	Consumer	United States	New York City	New York	10035	East	OFF-BI-10003669	Office Supplies	Binders	3M Organizer Strips	8.64	1.7280
1164	CA-2015-127964	2015-03-03	3	2015	2015-03-08	3	2015	Standard Class	AP-10720	Anne Pryor	Home Office	United States	New York City	New York	10035	East	OFF-BI-10004593	Office Supplies	Binders	Ibico Laser Imprintable Binding System Covers	125.76	25.1520
1165	CA-2015-127964	2015-03-03	3	2015	2015-03-08	3	2015	Standard Class	AP-10720	Anne Pryor	Home Office	United States	New York City	New York	10035	East	OFF-BI-10003429	Office Supplies	Binders	"'"Cardinal HOLDit! Binder Insert Strips,Extra Strips'""	25.32	5.0640
1243	US-2017-162859	2017-02-15	2	2017	2017-02-22	2	2017	Standard Class	PG-18820	Patrick Gardner	Consumer	United States	New York City	New York	10009	East	OFF-BI-10004519	Office Supplies	Binders	GBC DocuBind P100 Manual Binding Machine	398.352	79.67040
1289	CA-2017-154711	2017-11-22	11	2017	2017-11-26	11	2017	Standard Class	TB-21355	Todd Boyes	Corporate	United States	New York City	New York	10009	East	OFF-BI-10000605	Office Supplies	Binders	"'"Acco Pressboard Covers with Storage Hooks, 9 1/2'"'" x 11'"'", Executive Red'""	12.192	2.43840
1414	CA-2015-146640	2015-06-30	6	2015	2015-07-05	7	2015	Standard Class	HA-14905	Helen Abelman	Consumer	United States	New York City	New York	10024	East	OFF-BI-10002867	Office Supplies	Binders	GBC Recycled Regency Composition Covers	334.768	66.95360
1507	CA-2018-154935	2018-12-24	12	2018	2018-12-29	12	2018	Standard Class	AR-10540	Andy Reiter	Consumer	United States	New York City	New York	10024	East	OFF-BI-10003708	Office Supplies	Binders	"'"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1'"'"'""	17.88	3.5760
1716	CA-2017-154788	2017-04-30	4	2017	2017-05-04	5	2017	Standard Class	JL-15835	John Lee	Consumer	United States	New York City	New York	10011	East	OFF-BI-10003314	Office Supplies	Binders	Tuff Stuff Recycled Round Ring Binders	7.712	1.54240
1721	CA-2017-169943	2017-05-19	5	2017	2017-05-24	5	2017	Standard Class	BN-11515	Bradley Nguyen	Consumer	United States	New York City	New York	10011	East	OFF-BI-10002824	Office Supplies	Binders	Recycled Easel Ring Binders	47.744	9.54880
1951	CA-2018-157987	2018-09-02	9	2018	2018-09-06	9	2018	Standard Class	AC-10615	Ann Chong	Corporate	United States	New York City	New York	10009	East	OFF-BI-10004970	Office Supplies	Binders	"'"ACCOHIDE 3-Ring Binder, Blue, 1'"'"'""	26.432	5.28640
2154	CA-2017-117282	2017-07-14	7	2017	2017-07-18	7	2017	Standard Class	DR-12880	Dan Reichenbach	Corporate	United States	New York City	New York	10009	East	OFF-BI-10004094	Office Supplies	Binders	GBC Standard Plastic Binding Systems Combs	14.16	2.8320
2180	CA-2017-128818	2017-05-07	5	2017	2017-05-11	5	2017	Standard Class	CJ-12010	Caroline Jumper	Consumer	United States	New York City	New York	10009	East	OFF-BI-10000309	Office Supplies	Binders	"'"GBC Twin Loop Wire Binding Elements, 9/16'"'" Spine, Black'""	85.232	17.04640
2463	CA-2018-148691	2018-12-03	12	2018	2018-12-09	12	2018	Standard Class	CS-12460	Chuck Sachs	Consumer	United States	New York City	New York	10009	East	OFF-BI-10001524	Office Supplies	Binders	GBC Premium Transparent Covers with Diagonal Lined Pattern	83.92	16.7840
2464	CA-2018-148691	2018-12-03	12	2018	2018-12-09	12	2018	Standard Class	CS-12460	Chuck Sachs	Consumer	United States	New York City	New York	10009	East	OFF-BI-10001553	Office Supplies	Binders	SpineVue Locking Slant-D Ring Binders by Cardinal	14.624	2.92480
2639	CA-2018-108441	2018-06-12	6	2018	2018-06-18	6	2018	Standard Class	SB-20170	Sarah Bern	Consumer	United States	New York City	New York	10035	East	OFF-BI-10000848	Office Supplies	Binders	Angle-D Ring Binders	13.128	2.62560
3025	CA-2016-164441	2016-11-08	11	2016	2016-11-13	11	2016	Standard Class	AC-10450	Amy Cox	Consumer	United States	New York City	New York	10011	East	OFF-BI-10001922	Office Supplies	Binders	Storex Dura Pro Binders	52.272	10.45440
3084	CA-2015-100328	2015-01-28	1	2015	2015-02-03	2	2015	Standard Class	JC-15340	Jasper Cacioppo	Consumer	United States	New York City	New York	10024	East	OFF-BI-10000343	Office Supplies	Binders	"'"Pressboard Covers with Storage Hooks, 9 1/2'"'" x 11'"'", Light Blue'""	3.928	0.78560
3100	CA-2018-131233	2018-04-14	4	2018	2018-04-19	4	2018	Standard Class	CS-12355	Christine Sundaresam	Consumer	United States	New York City	New York	10024	East	OFF-BI-10000829	Office Supplies	Binders	Avery Non-Stick Binders	10.776	2.15520
3218	CA-2018-104640	2018-11-10	11	2018	2018-11-16	11	2018	Standard Class	FH-14275	Frank Hawley	Corporate	United States	New York City	New York	10024	East	OFF-BI-10003925	Office Supplies	Binders	Fellowes PB300 Plastic Comb Binding Machine	931.176	186.23520
3310	CA-2016-144386	2016-11-05	11	2016	2016-11-11	11	2016	Standard Class	GT-14635	Grant Thornton	Corporate	United States	New York City	New York	10009	East	OFF-BI-10001116	Office Supplies	Binders	"'"Wilson Jones 1'"'" Hanging DublLock Ring Binders'""	25.344	5.06880
3311	CA-2017-111416	2017-09-17	9	2017	2017-09-22	9	2017	Standard Class	LW-17215	Luke Weiss	Consumer	United States	New York City	New York	10035	East	OFF-BI-10002026	Office Supplies	Binders	Avery Arch Ring Binders	232.4	46.480
3744	CA-2017-137848	2017-01-15	1	2017	2017-01-21	1	2017	Standard Class	WB-21850	William Brown	Consumer	United States	New York City	New York	10011	East	OFF-BI-10002225	Office Supplies	Binders	"'"Square Ring Data Binders, Rigid 75 Pt. Covers, 11'"'" x 14-7/8'"'"'""	49.536	9.90720
3820	CA-2018-141873	2018-10-09	10	2018	2018-10-14	10	2018	Standard Class	HG-14845	Harry Greene	Consumer	United States	New York City	New York	10024	East	OFF-BI-10001031	Office Supplies	Binders	Pressboard Data Binders by Wilson Jones	12.816	2.56320
3823	CA-2018-141873	2018-10-09	10	2018	2018-10-14	10	2018	Standard Class	HG-14845	Harry Greene	Consumer	United States	New York City	New York	10024	East	OFF-BI-10003655	Office Supplies	Binders	Durable Pressboard Binders	18.24	3.6480
3826	CA-2016-140984	2016-09-14	9	2016	2016-09-18	9	2016	Standard Class	CC-12685	Craig Carroll	Consumer	United States	New York City	New York	10011	East	OFF-BI-10002012	Office Supplies	Binders	Wilson Jones Easy Flow II Sheet Lifters	12.96	2.5920
3942	CA-2018-117863	2018-05-18	5	2018	2018-05-23	5	2018	Standard Class	TS-21340	Toby Swindell	Consumer	United States	New York City	New York	10024	East	OFF-BI-10000605	Office Supplies	Binders	"'"Acco Pressboard Covers with Storage Hooks, 9 1/2'"'" x 11'"'", Executive Red'""	3.048	0.60960
3974	CA-2017-167556	2017-03-29	3	2017	2017-04-02	4	2017	Standard Class	JM-15250	Janet Martin	Consumer	United States	New York City	New York	10009	East	OFF-BI-10003708	Office Supplies	Binders	"'"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1'"'"'""	29.8	5.960
3976	CA-2017-167556	2017-03-29	3	2017	2017-04-02	4	2017	Standard Class	JM-15250	Janet Martin	Consumer	United States	New York City	New York	10009	East	OFF-BI-10000320	Office Supplies	Binders	GBC Plastic Binding Combs	41.328	8.26560
4092	CA-2017-161473	2017-04-01	4	2017	2017-04-05	4	2017	Standard Class	TB-21175	Thomas Boland	Corporate	United States	New York City	New York	10035	East	OFF-BI-10003305	Office Supplies	Binders	Avery Hanging File Binders	14.352	2.87040
4760	CA-2015-121573	2015-11-03	11	2015	2015-11-07	11	2015	Standard Class	SG-20605	Speros Goranitis	Consumer	United States	New York City	New York	10009	East	OFF-BI-10000666	Office Supplies	Binders	Surelock Post Binders	48.896	9.77920
4761	CA-2015-121573	2015-11-03	11	2015	2015-11-07	11	2015	Standard Class	SG-20605	Speros Goranitis	Consumer	United States	New York City	New York	10009	East	OFF-BI-10003712	Office Supplies	Binders	"'"Acco Pressboard Covers with Storage Hooks, 14 7/8'"'" x 11'"'", Light Blue'""	7.856	1.57120
4830	CA-2017-152408	2017-05-15	5	2017	2017-05-21	5	2017	Standard Class	TT-21220	Thomas Thornton	Consumer	United States	New York City	New York	10035	East	OFF-BI-10002393	Office Supplies	Binders	Binder Posts	13.776	2.75520
4863	CA-2017-125164	2017-11-10	11	2017	2017-11-14	11	2017	Standard Class	SH-19975	Sally Hughsby	Corporate	United States	New York City	New York	10011	East	OFF-BI-10001191	Office Supplies	Binders	Canvas Sectional Post Binders	20.368	4.07360
4864	CA-2017-125164	2017-11-10	11	2017	2017-11-14	11	2017	Standard Class	SH-19975	Sally Hughsby	Corporate	United States	New York City	New York	10011	East	OFF-BI-10003982	Office Supplies	Binders	Wilson Jones Century Plastic Molded Ring Binders	49.848	9.96960
4903	CA-2018-110884	2018-03-07	3	2018	2018-03-12	3	2018	Standard Class	SH-20395	Shahid Hopkins	Consumer	United States	New York City	New York	10035	East	OFF-BI-10003669	Office Supplies	Binders	3M Organizer Strips	25.92	5.1840
4996	CA-2015-132227	2015-11-04	11	2015	2015-11-10	11	2015	Standard Class	SZ-20035	Sam Zeldin	Home Office	United States	New York City	New York	10011	East	OFF-BI-10000962	Office Supplies	Binders	"'"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2'"'" X 14'"'" 7/8'"'"'""	52.064	10.41280
5135	CA-2018-155607	2018-11-26	11	2018	2018-11-30	11	2018	Standard Class	FG-14260	Frank Gastineau	Home Office	United States	New York City	New York	10009	East	OFF-BI-10003364	Office Supplies	Binders	Binding Machine Supplies	93.344	18.66880
5144	CA-2017-111213	2017-04-01	4	2017	2017-04-05	4	2017	Standard Class	FP-14320	Frank Preis	Consumer	United States	New York City	New York	10009	East	OFF-BI-10004140	Office Supplies	Binders	Avery Non-Stick Binders	3.592	0.71840
5153	US-2015-121566	2015-06-30	6	2015	2015-07-06	7	2015	Standard Class	CS-11860	Cari Schnelling	Consumer	United States	New York City	New York	10011	East	OFF-BI-10004528	Office Supplies	Binders	Cardinal Poly Pocket Divider Pockets for Ring Binders	2.688	0.53760
5178	CA-2017-123015	2017-12-26	12	2017	2017-12-30	12	2017	Standard Class	AJ-10795	Anthony Johnson	Corporate	United States	New York City	New York	10024	East	OFF-BI-10004967	Office Supplies	Binders	Round Ring Binders	4.992	0.99840
5226	CA-2017-119865	2017-06-21	6	2017	2017-06-26	6	2017	Standard Class	AS-10090	Adam Shillingsburg	Consumer	United States	New York City	New York	10011	East	OFF-BI-10001553	Office Supplies	Binders	SpineVue Locking Slant-D Ring Binders by Cardinal	36.56	7.3120
5227	CA-2017-119865	2017-06-21	6	2017	2017-06-26	6	2017	Standard Class	AS-10090	Adam Shillingsburg	Consumer	United States	New York City	New York	10011	East	OFF-BI-10003007	Office Supplies	Binders	"'"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2'"'" x 11'"'"'""	186.144	37.22880
5332	CA-2017-123120	2017-09-04	9	2017	2017-09-08	9	2017	Standard Class	CV-12295	Christina VanderZanden	Consumer	United States	New York City	New York	10011	East	OFF-BI-10001460	Office Supplies	Binders	Plastic Binding Combs	60.6	12.120
5403	CA-2018-123043	2018-08-24	8	2018	2018-08-29	8	2018	Standard Class	AH-10195	Alan Haines	Corporate	United States	New York City	New York	10024	East	OFF-BI-10003910	Office Supplies	Binders	DXL Angle-View Binders with Locking Rings by Samsill	24.672	4.93440
5404	CA-2018-123043	2018-08-24	8	2018	2018-08-29	8	2018	Standard Class	AH-10195	Alan Haines	Corporate	United States	New York City	New York	10024	East	OFF-BI-10000138	Office Supplies	Binders	Acco Translucent Poly Ring Binders	3.744	0.74880
5440	CA-2017-167115	2017-04-04	4	2017	2017-04-09	4	2017	Standard Class	EH-14185	Evan Henry	Consumer	United States	New York City	New York	10035	East	OFF-BI-10004600	Office Supplies	Binders	Ibico Ibimaster 300 Manual Binding System	588.784	117.75680
5444	CA-2016-148712	2016-04-17	4	2016	2016-04-23	4	2016	Standard Class	JM-15535	Jessica Myrick	Consumer	United States	New York City	New York	10035	East	OFF-BI-10001900	Office Supplies	Binders	"'"DXL Angle-View Binders with Locking Rings, Black'""	62.296	12.45920
5605	CA-2016-142475	2016-12-03	12	2016	2016-12-07	12	2016	Standard Class	BS-11380	Bill Stewart	Corporate	United States	New York City	New York	10011	East	OFF-BI-10003718	Office Supplies	Binders	GBC Therma-A-Bind 250T Electric Binding System	590.352	118.07040
5736	CA-2015-111773	2015-06-29	6	2015	2015-07-03	7	2015	Standard Class	JK-15625	Jim Karlsson	Consumer	United States	New York City	New York	10024	East	OFF-BI-10000174	Office Supplies	Binders	"'"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear'""	13.92	2.7840
6098	CA-2018-100111	2018-09-20	9	2018	2018-09-26	9	2018	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	OFF-BI-10000343	Office Supplies	Binders	"'"Pressboard Covers with Storage Hooks, 9 1/2'"'" x 11'"'", Light Blue'""	11.784	2.35680
6238	US-2017-155180	2017-01-22	1	2017	2017-01-29	1	2017	Standard Class	TB-21280	Toby Braunhardt	Consumer	United States	New York City	New York	10009	East	OFF-BI-10004506	Office Supplies	Binders	Wilson Jones data.warehouse D-Ring Binders with DublLock	26.336	5.26720
6336	CA-2015-133305	2015-07-11	7	2015	2015-07-15	7	2015	Standard Class	MH-17455	Mark Hamilton	Consumer	United States	New York City	New York	10011	East	OFF-BI-10002954	Office Supplies	Binders	Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders	18.28	3.6560
6397	CA-2017-129126	2017-12-14	12	2017	2017-12-19	12	2017	Standard Class	PK-19075	Pete Kriz	Consumer	United States	New York City	New York	10011	East	OFF-BI-10000279	Office Supplies	Binders	"'"Acco Recycled 2'"'" Capacity Laser Printer Hanging Data Binders'""	23.12	4.6240
6510	CA-2018-102197	2018-12-20	12	2018	2018-12-26	12	2018	Standard Class	DK-13150	David Kendrick	Corporate	United States	New York City	New York	10009	East	OFF-BI-10001524	Office Supplies	Binders	GBC Premium Transparent Covers with Diagonal Lined Pattern	50.352	10.07040
6696	US-2017-155103	2017-12-02	12	2017	2017-12-07	12	2017	Standard Class	JF-15190	Jamie Frazer	Consumer	United States	New York City	New York	10024	East	OFF-BI-10004318	Office Supplies	Binders	Ibico EB-19 Dual Function Manual Binding System	415.176	83.03520
6697	US-2017-155103	2017-12-02	12	2017	2017-12-07	12	2017	Standard Class	JF-15190	Jamie Frazer	Consumer	United States	New York City	New York	10024	East	OFF-BI-10004236	Office Supplies	Binders	"'"XtraLife ClearVue Slant-D Ring Binder, White, 3'"'"'""	35.232	7.04640
6748	CA-2018-100230	2018-12-11	12	2018	2018-12-15	12	2018	Standard Class	AA-10375	Allen Armold	Consumer	United States	New York City	New York	10035	East	OFF-BI-10002498	Office Supplies	Binders	Clear Mylar Reinforcing Strips	14.952	2.99040
6940	CA-2018-107132	2018-06-26	6	2018	2018-06-30	6	2018	Standard Class	SC-20260	Scott Cohen	Corporate	United States	New York City	New York	10009	East	OFF-BI-10001071	Office Supplies	Binders	GBC ProClick Punch Binding System	102.368	20.47360
7011	US-2015-135881	2015-05-23	5	2015	2015-05-27	5	2015	Standard Class	GT-14710	Greg Tran	Consumer	United States	New York City	New York	10035	East	OFF-BI-10000829	Office Supplies	Binders	Avery Non-Stick Binders	17.96	3.5920
7027	US-2018-101840	2018-02-06	2	2018	2018-02-12	2	2018	Standard Class	SP-20545	Sibella Parks	Corporate	United States	New York City	New York	10024	East	OFF-BI-10000279	Office Supplies	Binders	"'"Acco Recycled 2'"'" Capacity Laser Printer Hanging Data Binders'""	46.24	9.2480
7034	CA-2017-145548	2017-11-11	11	2017	2017-11-16	11	2017	Standard Class	EB-13750	Edward Becker	Corporate	United States	New York City	New York	10011	East	OFF-BI-10001510	Office Supplies	Binders	Deluxe Heavy-Duty Vinyl Round Ring Binder	55.008	11.00160
7035	CA-2017-145548	2017-11-11	11	2017	2017-11-16	11	2017	Standard Class	EB-13750	Edward Becker	Corporate	United States	New York City	New York	10011	East	OFF-BI-10004236	Office Supplies	Binders	"'"XtraLife ClearVue Slant-D Ring Binder, White, 3'"'"'""	35.232	7.04640
7041	CA-2018-103443	2018-12-17	12	2018	2018-12-23	12	2018	Standard Class	AT-10735	Annie Thurman	Consumer	United States	New York City	New York	10009	East	OFF-BI-10001617	Office Supplies	Binders	GBC Wire Binding Combs	24.816	4.96320
7114	CA-2017-109666	2017-04-19	4	2017	2017-04-26	4	2017	Standard Class	KM-16720	Kunst Miller	Consumer	United States	New York City	New York	10035	East	OFF-BI-10000174	Office Supplies	Binders	"'"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear'""	9.28	1.8560
7236	CA-2017-137337	2017-03-08	3	2017	2017-03-12	3	2017	Standard Class	GB-14575	Giulietta Baptist	Consumer	United States	New York City	New York	10011	East	OFF-BI-10000632	Office Supplies	Binders	Satellite Sectional Post Binders	69.456	13.89120
7483	CA-2015-113964	2015-09-23	9	2015	2015-09-30	9	2015	Standard Class	JP-16135	Julie Prescott	Home Office	United States	New York City	New York	10011	East	OFF-BI-10004654	Office Supplies	Binders	Avery Binding System Hidden Tab Executive Style Index Sets	18.464	3.69280
7553	CA-2015-140396	2015-11-20	11	2015	2015-11-25	11	2015	Standard Class	KH-16330	Katharine Harms	Corporate	United States	New York City	New York	10024	East	OFF-BI-10003669	Office Supplies	Binders	3M Organizer Strips	12.96	2.5920
7722	CA-2016-108588	2016-01-05	1	2016	2016-01-10	1	2016	Standard Class	BG-11695	Brooke Gillingham	Corporate	United States	New York City	New York	10009	East	OFF-BI-10004506	Office Supplies	Binders	Wilson Jones data.warehouse D-Ring Binders with DublLock	13.168	2.63360
7737	CA-2015-105872	2015-05-30	5	2015	2015-06-06	6	2015	Standard Class	JG-15160	James Galang	Consumer	United States	New York City	New York	10024	East	OFF-BI-10003684	Office Supplies	Binders	Wilson Jones Legal Size Ring Binders	70.368	14.07360
7894	CA-2018-125367	2018-07-23	7	2018	2018-07-30	7	2018	Standard Class	NM-18445	Nathan Mautz	Home Office	United States	New York City	New York	10011	East	OFF-BI-10002412	Office Supplies	Binders	Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders	13.92	2.7840
7952	CA-2016-145814	2016-11-19	11	2016	2016-11-24	11	2016	Standard Class	KD-16345	Katherine Ducich	Consumer	United States	New York City	New York	10035	East	OFF-BI-10003196	Office Supplies	Binders	Accohide Poly Flexible Ring Binders	5.984	1.19680
8080	US-2017-164945	2017-11-22	11	2017	2017-11-27	11	2017	Standard Class	CA-12055	Cathy Armstrong	Home Office	United States	New York City	New York	10009	East	OFF-BI-10001524	Office Supplies	Binders	GBC Premium Transparent Covers with Diagonal Lined Pattern	134.272	26.85440
8242	CA-2015-109855	2015-09-01	9	2015	2015-09-05	9	2015	Standard Class	LH-16900	Lena Hernandez	Consumer	United States	New York City	New York	10009	East	OFF-BI-10004716	Office Supplies	Binders	Wilson Jones Hanging Recycled Pressboard Data Binders	23.744	4.74880
8266	CA-2015-131800	2015-12-30	12	2015	2016-01-04	1	2016	Standard Class	AJ-10960	Astrea Jones	Consumer	United States	New York City	New York	10035	East	OFF-BI-10003429	Office Supplies	Binders	"'"Cardinal HOLDit! Binder Insert Strips,Extra Strips'""	35.448	7.08960
8512	CA-2017-103359	2017-12-22	12	2017	2017-12-26	12	2017	Standard Class	LC-16885	Lena Creighton	Consumer	United States	New York City	New York	10035	East	OFF-BI-10004233	Office Supplies	Binders	"'"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2'"'" x 11'"'"'""	25.584	5.11680
8629	CA-2016-164084	2016-09-07	9	2016	2016-09-12	9	2016	Standard Class	AG-10525	Andy Gerbode	Corporate	United States	New York City	New York	10011	East	OFF-BI-10000605	Office Supplies	Binders	"'"Acco Pressboard Covers with Storage Hooks, 9 1/2'"'" x 11'"'", Executive Red'""	6.096	1.21920
8775	CA-2016-132276	2016-02-23	2	2016	2016-02-28	2	2016	Standard Class	LC-16960	Lindsay Castell	Home Office	United States	New York City	New York	10024	East	OFF-BI-10002982	Office Supplies	Binders	Avery Self-Adhesive Photo Pockets for Polaroid Photos	10.896	2.17920
9203	CA-2017-153836	2017-10-30	10	2017	2017-11-03	11	2017	Standard Class	EH-13765	Edward Hooks	Corporate	United States	New York City	New York	10011	East	OFF-BI-10004817	Office Supplies	Binders	GBC Personal VeloBind Strips	28.752	5.75040
9249	CA-2017-127761	2017-11-10	11	2017	2017-11-14	11	2017	Standard Class	SW-20275	Scott Williamson	Consumer	United States	New York City	New York	10009	East	OFF-BI-10002557	Office Supplies	Binders	Presstex Flexible Ring Binders	3.64	0.7280
9270	US-2018-102183	2018-08-21	8	2018	2018-08-28	8	2018	Standard Class	PK-19075	Pete Kriz	Consumer	United States	New York City	New York	10035	East	OFF-BI-10003476	Office Supplies	Binders	Avery Metallic Poly Binders	32.088	6.41760
9271	US-2018-102183	2018-08-21	8	2018	2018-08-28	8	2018	Standard Class	PK-19075	Pete Kriz	Consumer	United States	New York City	New York	10035	East	OFF-BI-10001359	Office Supplies	Binders	GBC DocuBind TL300 Electric Binding System	4305.552	861.11040
